71, Read the Humanities
72, Reinvent the Wheel Often
73, Resist the Temptation of the Singleton Pattern
74, The Road to Performance Is Littered with Dirty Code Bombs
75, Simplicity Comes from Reduction
76, The Single Responsibility Principle
77, Start from Yes
78, "Step Back and Automate, Automate, Automate"
79, Take Advantage of Code Analysis Tools
80, "Test for Required Behavior, not Incidental Behavior"
81, Test Precisely and Concretely
82, Test While You Sleep (and over Weekends)
83, Testing Is the Engineering Rigor of Software Development
