16, A Comment on Comments
17, Comment Only What the Code Cannot Say
18, Continuous Learning
19, Convenience Is not an -ility
20, Deploy Early and Often
21, Distinguish Business Exceptions from Technical
22, Do Lots of Deliberate Practice
23, Domain-Specific Languages
24, Don't Be Afraid to Break Things
25, Don't Be Cute with Your Test Data
26, Don't Ignore that Error!
27, "Don't Just Learn the Language, Understand its Culture"
28, Don't Nail Your Program into the Upright Position
29, Don't Rely on "Magic Happens Here"
30, Don't Repeat Yourself
31, Don't Touch that Code!
32, "Encapsulate Behavior, not Just State"
33, Floating-point Numbers Aren't Real
34, Fulfill Your Ambitions with Open Source
35, The Golden Rule of API Design
36, The Guru Myth
37, Hard Work Does not Pay Off
38, How to Use a Bug Tracker
39, Improve Code by Removing It
40, Install Me
