56, Make the Invisible More Visible
57, Message Passing Leads to Better Scalability in Parallel Systems
58, A Message to the Future
59, Missing Opportunities for Polymorphism
60, News of the Weird: Testers Are Your Friends
61, One Binary
62, Only the Code Tells the Truth
63, Own (and Refactor) the Build
64, Pair Program and Feel the Flow
65, Prefer Domain-Specific Types to Primitive Types
66, Prevent Errors
67, The Professional Programmer
68, Put Everything Under Version Control
69, Put the Mouse Down and Step Away from the Keyboard
70, Read Code
