84, Thinking in States
85, Two Heads Are Often Better than One
86, Two Wrongs Can Make a Right (and Are Difficult to Fix)
87, Ubuntu Coding for Your Friends
88, The Unix Tools Are Your Friends
89, Use the Right Algorithm and Data Structure
90, Verbose Logging Will Disturb Your Sleep
91, WET Dilutes Performance Bottlenecks
92, When Programmers and Testers Collaborate
93, Write Code as If You Had to Support It for the Rest of Your Life
94, Write Small Functions Using Examples
95, Write Tests for People
96, You Gotta Care about the Code
97, Your Customers Do not Mean What They Say
